ID,Symbol,Category
gala,GALA,Consumer & Gaming
apenft,NFT,Consumer & Gaming
chain-2,XCN,Other
just,JST,"DeFi (DEX, Lending, Perps)"
resolv-wstusr,WSTUSR,Yield & Vaults
euro-coin,EURC,Stablecoins
kinesis-gold,KAU,RWA & Tokenization
pendle,PENDLE,"DeFi (DEX, Lending, Perps)"
binance-peg-dogecoin,DOGE,Memecoins
olympus,OHM,Yield & Vaults
layerzero,ZRO,Other
telcoin,TEL,Payments & Money Networks
axie-infinity,AXS,Consumer & Gaming
kaia,KAIA,Layer 1s
kinesis-silver,KAG,RWA & Tokenization
fartcoin,FARTCOIN,Memecoins
humanity,H,Other
theta-token,THETA,Consumer & Gaming
pippin,PIPPIN,Other
benqi-liquid-staked-avax,SAVAX,Liquid Staking & Restaking
zebec-network,ZBCN,Other
decentraland,MANA,Consumer & Gaming
undeads-games,UDS,Consumer & Gaming
binance-peg-busd,BUSD,Stablecoins
unit-bitcoin,UBTC,Wrapped & Bridged Assets
arbitrum-bridged-wrapped-eeth,WEETH,Liquid Staking & Restaking
basic-attention-token,BAT,Consumer & Gaming
sonic-3,S,"DeFi (DEX, Lending, Perps)"
usx,USX,Stablecoins
raydium,RAY,"DeFi (DEX, Lending, Perps)"
zksync,ZK,Layer 2s & Scaling
polygon-pos-bridged-weth-polygon-pos,WETH,Wrapped & Bridged Assets
astherus-staked-bnb,ASBNB,Liquid Staking & Restaking
stable-2,STABLE,Other
plasma,XPL,Other
gate-wrapped-btc,GTBTC,Wrapped & Bridged Assets
neo,NEO,Layer 1s
frax-ether,FRXETH,Liquid Staking & Restaking
wrapped-ether-mantle-bridge,WETH,Wrapped & Bridged Assets
frax,FRAX,Stablecoins
binance-wrapped-btc,BBTC,Wrapped & Bridged Assets
mantle-restaked-eth,CMETH,Liquid Staking & Restaking
arbitrum-bridged-wsteth-arbitrum,WSTETH,Liquid Staking & Restaking
ultima,ULTIMA,Other
vision-3,VSN,Other
kraken-wrapped-btc,KBTC,Wrapped & Bridged Assets
