id,symbol,name,first_day,last_day,expected_days,have_any,missing_any,have_price,missing_price,have_volume,missing_volume,have_mcap,missing_mcap,updated_at
thorchain,RUNE,THORChain,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
cardano,ADA,Cardano,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
crypto-com-chain,CRO,Cronos,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
syndicate-3,SYND,Syndicate,2025-09-18,2025-09-25,8,8,0,8,0,8,0,8,0,2025-09-25T11:44:27.907202+00:00
ripple-usd,RLUSD,Ripple USD,2024-12-17,2025-09-25,283,283,0,283,0,283,0,283,0,2025-09-25T11:44:27.907202+00:00
whitebit,WBT,WhiteBIT Coin,2022-08-26,2025-09-25,1127,1127,0,1127,0,1127,0,1127,0,2025-09-25T11:44:27.907202+00:00
zero-gravity,0G,0G,2025-09-22,2025-09-25,4,4,0,4,0,4,0,4,0,2025-09-25T11:44:27.907202+00:00
wrapped-avax,WAVAX,Wrapped AVAX,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
build-on,B,BUILDon,2025-05-22,2025-09-25,127,127,0,127,0,127,0,127,0,2025-09-25T11:44:27.907202+00:00
solv-protocol-solvbtc-bbn,XSOLVBTC,Solv Protocol Staked BTC,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
bitcoin,BTC,Bitcoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
kinetic-staked-hype,KHYPE,Kinetiq Staked HYPE,2025-07-16,2025-09-25,72,72,0,72,0,72,0,72,0,2025-09-25T11:44:27.907202+00:00
jupiter-exchange-solana,JUP,Jupiter,2024-01-31,2025-09-25,604,604,0,604,0,604,0,604,0,2025-09-25T11:44:27.907202+00:00
tether-gold,XAUT,Tether Gold,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
ethena-staked-ena,SENA,Ethena Staked ENA,2024-09-29,2025-09-25,362,362,0,362,0,362,0,362,0,2025-09-25T11:44:27.907202+00:00
arweave,AR,Arweave,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
okb,OKB,OKB,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
trust-wallet-token,TWT,Trust Wallet,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
binancecoin,BNB,BNB,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
zcash,ZEC,Zcash,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
neo,NEO,NEO,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
aerodrome-finance,AERO,Aerodrome Finance,2023-09-15,2025-09-25,742,742,0,742,0,742,0,742,0,2025-09-25T11:44:27.907202+00:00
fetch-ai,FET,Artificial Superintelligence Alliance,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
fartcoin,FARTCOIN,Fartcoin,2024-10-21,2025-09-25,340,340,0,340,0,340,0,340,0,2025-09-25T11:44:27.907202+00:00
morpho,MORPHO,Morpho,2024-11-20,2025-09-25,310,310,0,310,0,310,0,310,0,2025-09-25T11:44:27.907202+00:00
the-sandbox,SAND,The Sandbox,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
usdtb,USDTB,USDtb,2024-12-16,2025-09-25,284,284,0,284,0,284,0,284,0,2025-09-25T11:44:27.907202+00:00
falcon-finance,USDF,Falcon USD,2025-02-23,2025-09-25,215,215,0,215,0,215,0,215,0,2025-09-25T11:44:27.907202+00:00
sei-network,SEI,Sei,2023-08-15,2025-09-25,773,773,0,773,0,773,0,773,0,2025-09-25T11:44:27.907202+00:00
apecoin,APE,ApeCoin,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
wormhole,W,Wormhole,2024-04-03,2025-09-25,541,541,0,541,0,541,0,541,0,2025-09-25T11:44:27.907202+00:00
chainlink,LINK,Chainlink,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
hedera-hashgraph,HBAR,Hedera,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
swissborg,SWISSBORG,swissborg,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
kucoin-shares,KCS,KuCoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
bittorrent,BTT,BitTorrent,2022-01-21,2025-09-25,1344,1344,0,1344,0,1344,0,1344,0,2025-09-25T11:44:27.907202+00:00
sky,SKY,Sky,2024-09-24,2025-09-25,367,367,0,367,0,367,0,367,0,2025-09-25T11:44:27.907202+00:00
pump-fun,PUMP,Pump.fun,2025-07-14,2025-09-25,74,74,0,74,0,74,0,74,0,2025-09-25T11:44:27.907202+00:00
the-open-network,TON,Toncoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
kinetiq-earn-vault,VKHYPE,Kinetiq Earn Vault,2024-01-01,2025-09-25,634,634,0,634,0,634,0,634,0,2025-09-25T11:44:27.907202+00:00
clbtc,CLBTC,clBTC,2025-02-02,2025-09-25,236,236,0,236,0,236,0,236,0,2025-09-25T11:44:27.907202+00:00
hash-2,HASH,Provenance Blockchain,2025-05-29,2025-09-25,120,120,0,120,0,120,0,120,0,2025-09-25T11:44:27.907202+00:00
sweth,SWETH,Swell Ethereum,2023-05-15,2025-09-25,865,865,0,865,0,865,0,865,0,2025-09-25T11:44:27.907202+00:00
world-liberty-financial,WLFI,World Liberty Financial,2025-09-01,2025-09-25,25,25,0,25,0,25,0,25,0,2025-09-25T11:44:27.907202+00:00
pudgy-penguins,PENGU,Pudgy Penguins,2024-12-17,2025-09-25,283,283,0,283,0,283,0,283,0,2025-09-25T11:44:27.907202+00:00
quant-network,QNT,Quant,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
tether,USDT,Tether,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
stader-ethx,ETHX,Stader ETHx,2023-07-07,2025-09-25,812,812,0,812,0,812,0,812,0,2025-09-25T11:44:27.907202+00:00
celestia,TIA,Celestia,2023-10-31,2025-09-25,696,696,0,696,0,696,0,696,0,2025-09-25T11:44:27.907202+00:00
ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,2023-11-08,2025-09-25,688,688,0,688,0,688,0,688,0,2025-09-25T11:44:27.907202+00:00
dogwifcoin,WIF,dogwifhat,2023-12-13,2025-09-25,653,653,0,653,0,653,0,653,0,2025-09-25T11:44:27.907202+00:00
lido-dao,LDO,Lido DAO,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
aptos,APT,Aptos,2022-10-19,2025-09-25,1073,1073,0,1073,0,1073,0,1073,0,2025-09-25T11:44:27.907202+00:00
iota,IOTA,IOTA,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
syrupusdc,SYRUPUSDC,syrupUSDC,2025-03-02,2025-09-25,208,208,0,208,0,208,0,208,0,2025-09-25T11:44:27.907202+00:00
bridged-usdc-polygon-pos-bridge,USDC.E,Bridged USDC (Polygon PoS Bridge),2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
beldex,BDX,Beldex,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
mantle-staked-ether,METH,Mantle Staked Ether,2023-12-08,2025-09-25,658,658,0,658,0,658,0,658,0,2025-09-25T11:44:27.907202+00:00
loaded-lions,LION,Loaded Lions,2025-03-03,2025-09-25,207,207,0,207,0,207,0,207,0,2025-09-25T11:44:27.907202+00:00
official-trump,TRUMP,Official Trump,2025-01-18,2025-09-25,251,251,0,251,0,251,0,251,0,2025-09-25T11:44:27.907202+00:00
four,FORM,Four,2025-03-20,2025-09-25,190,190,0,190,0,190,0,190,0,2025-09-25T11:44:27.907202+00:00
ai-companions,AIC,AI Companions,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
polygon-bridged-usdt-polygon,USDT,Polygon Bridged USDT (Polygon),2024-02-05,2025-09-25,599,599,0,599,0,599,0,599,0,2025-09-25T11:44:27.907202+00:00
aethir,ATH,Aethir,2024-06-12,2025-09-25,471,471,0,471,0,471,0,471,0,2025-09-25T11:44:27.907202+00:00
internet-computer,ICP,Internet Computer,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
apenft,NFT,APENFT,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
vaulta,A,Vaulta,2025-05-28,2025-09-25,121,121,0,121,0,121,0,121,0,2025-09-25T11:44:27.907202+00:00
memecore,M,MemeCore,2025-07-03,2025-09-25,85,85,0,85,0,85,0,85,0,2025-09-25T11:44:27.907202+00:00
liquid-staked-ethereum,LSETH,Liquid Staked ETH,2023-03-07,2025-09-25,934,934,0,934,0,934,0,934,0,2025-09-25T11:44:27.907202+00:00
arbitrum,ARB,Arbitrum,2023-03-23,2025-09-25,918,918,0,918,0,918,0,918,0,2025-09-25T11:44:27.907202+00:00
ether-fi,ETHFI,Ether.fi,2024-03-18,2025-09-25,557,557,0,557,0,557,0,557,0,2025-09-25T11:44:27.907202+00:00
superstate-short-duration-us-government-securities-fund-ustb,USTB,Superstate Short Duration U.S. Government Securities Fund (USTB),2024-11-01,2025-09-25,329,329,0,329,0,329,0,329,0,2025-09-25T11:44:27.907202+00:00
sun-token,SUN,Sun Token,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
rocket-pool-eth,RETH,Rocket Pool ETH,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
polkadot,DOT,Polkadot,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
staked-ether,STETH,Lido Staked Ether,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
pepe,PEPE,Pepe,2023-04-18,2025-09-25,892,892,0,892,0,892,0,892,0,2025-09-25T11:44:27.907202+00:00
wrapped-steth,WSTETH,Wrapped stETH,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
usdd,USDD,USDD,2022-05-02,2025-09-25,1243,1243,0,1243,0,1243,0,1243,0,2025-09-25T11:44:27.907202+00:00
cosmos,ATOM,Cosmos Hub,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
benqi-liquid-staked-avax,SAVAX,BENQI Liquid Staked AVAX,2022-02-19,2025-09-25,1315,1315,0,1315,0,1315,0,1315,0,2025-09-25T11:44:27.907202+00:00
tron,TRX,TRON,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
gatechain-token,GT,Gate,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
